verb_uid,source_path,file_id,annotation_scope,annotation_notes,utterance_unit,utterance_id,learner_id,speaker,raw_utterance,normalized_utterance,verb_index,produced_form,produced_agreement,target_form,lemma,tense_mood,category,subject_form,head,subject_type,person,number,cue_present,cue_expression,cue_type,cue_number,attraction_configuration,attraction_error,attractor_surface_form,attractor_head,attractor_number,attractor_type,intervener_type,structural_complexity_type,linear_distance_words,llm_confidence,comments,agreement_status,agreement_accuracy,is_agreement_target_like,is_agreement_non_target,is_unexpected_form,is_analyzable_agreement,cue_presence_label,cue_group,rq1_condition,has_attraction,has_attraction_error,rq2_configuration,distance_bin,finite_status
TS_FA_session01_page01:utt_008:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_008,FA,FA,et toi tu vas faire quoi ?,"Et toi, tu vas faire quoi ?",2,faire,not_applicable,faire,faire,infinitive,irregular,tu,tu,controlled_subject,2,singular,False,,,,False,False,,,,,,infinitival_complement,,0.99,Infinitive after aller.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_009:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_009,TS,TS,Ah moi ouais je suis déjà allée à Kobe Osaka pour aller mh à # une amie française,"Ah moi, je suis déjà allée à Kobe et Osaka pour aller voir une amie française.",1,suis allée,expected,suis allée,aller,passé_composé,irregular,je,je,pronoun,1,singular,True,je,subject_pronoun,singular,False,False,,,,,adverb,simple_subject_auxiliary_participle,0.0,0.92,Past participle allée is compatible if the speaker is female; otherwise this requires human validation.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_009:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_009,TS,TS,Ah moi ouais je suis déjà allée à Kobe Osaka pour aller mh à # une amie française,"Ah moi, je suis déjà allée à Kobe et Osaka pour aller voir une amie française.",2,aller,not_applicable,aller,aller,infinitive,irregular,je,je,controlled_subject,1,singular,False,,,,False,False,,,,,,infinitival_purpose_clause,,0.96,The expected complement 'voir' is omitted or delayed in the raw utterance.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_011:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_011,TS,TS,"qui s'appelle Zoe, on s'est rencontrés en France #","qui s'appelle Zoé, on s'est rencontrées en France.",1,s'appelle,expected,s'appelle,s'appeler,present_indicative,regular_er_pronominal_orthographic_change,qui,amie,relative_pronoun,3,singular,True,une amie française,singular_determiner_np,singular,False,False,,,,,reflexive_clitic,relative_clause,1.0,0.96,Correct agreement with singular antecedent amie/Zoe.,target,1.0,True,False,False,True,cue_present,morphological,weak_morphological,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_011:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_011,TS,TS,"qui s'appelle Zoe, on s'est rencontrés en France #","qui s'appelle Zoé, on s'est rencontrées en France.",2,s'est rencontrés,ambiguous,s'est rencontrés,se rencontrer,passé_composé,regular_er_pronominal,on,on,pronoun,3,singular_or_semantic_plural,True,on,subject_pronoun_semantically_variable,singular_or_plural,False,False,,,,,reflexive_clitic,simple_subject_auxiliary_participle,1.0,0.82,"With on meaning nous, plural participle is acceptable. Gender agreement depends on intended referents and needs human validation.",ambiguous,,False,False,False,False,cue_present,ambiguous,ambiguous,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_013:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",1,fait,expected,fait,faire,present_indicative,irregular,elle,elle,pronoun,3,singular,True,elle,subject_pronoun,singular,False,False,,,,,subject_pronoun_doubling,left_dislocation_or_pronoun_doubling,0.0,0.98,"The doubled subject 'elle elle' is discourse-related, not an agreement error.",target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_013:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",2,aller,not_applicable,aller,aller,infinitive,irregular,je,je,implicit_controlled_subject,1,singular,False,,,,False,False,,,,,,infinitival_purpose_clause,,0.9,"False starts 'a-, al-' precede the infinitive and are not separately annotated.",not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_013:v3,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",3,voir,not_applicable,voir,voir,infinitive,irregular,je,je,implicit_controlled_subject,1,singular,False,,,,False,False,,,,,,infinitival_complement,,0.93,Infinitive complement of aller.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_013:v4,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",4,c'était,expected,c'était,être,imparfait_indicative,copula_irregular,c',ce,demonstrative_pronoun,3,singular,True,c',demonstrative_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.97,Correct agreement.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_013:v5,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",5,faire,not_applicable,faire,faire,infinitive,irregular,,,implicit_or_ellipsis,,,False,,,,False,False,,,,,,infinitival_coordination_or_fragment,,0.79,The infinitival phrase is incomplete across the following utterance.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_016:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_016,FA,FA,<Et tu es allée à l’expo aussi ?>,Et tu es allée à l’expo aussi ?,1,es allée,expected,es allée,aller,passé_composé,irregular,tu,tu,pronoun,2,singular,True,tu,subject_pronoun,singular,False,False,,,,,,simple_subject_auxiliary_participle,0.0,0.92,Feminine participle allée is compatible if the addressee is female; human validation recommended.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_017:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_017,TS,TS,"Non parce que euh # ouais # j- # ça me tente pas trop d'aller à, dans la foule de","Non, parce que ça ne me tente pas trop d'aller dans la foule.",1,tente,expected,tente,tenter,present_indicative,regular_er,ça,ça,demonstrative_pronoun,3,singular,True,ça,demonstrative_pronoun,singular,False,False,,,,,object_clitic,subject_clitic_verb_with_object_clitic,1.0,0.97,"Agreement is correct. Negative particle ne is omitted, but this is not an agreement error.",target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_017:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_017,TS,TS,"Non parce que euh # ouais # j- # ça me tente pas trop d'aller à, dans la foule de","Non, parce que ça ne me tente pas trop d'aller dans la foule.",2,aller,not_applicable,aller,aller,infinitive,irregular,ça,ça,implicit_controlled_subject,3,singular,False,,,,False,False,,,,,,infinitival_complement,,0.94,Infinitive complement of tenter.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_019:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_019,TS,TS,"d'expo [rire] il vaut mieux euh un peu tranquille donc oui, j'ai choisi de d'aller à [jp]_minpaku c'est un # ancien expo #","l'expo. Il vaut mieux quelque chose d'un peu tranquille, donc j'ai choisi d'aller à Minpaku, c'est une ancienne expo.",1,vaut,expected,vaut,valoir,present_indicative,irregular_impersonal_expression,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,,impersonal_expression,0.0,0.97,Correct formulaic expression il vaut mieux.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_019:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_019,TS,TS,"d'expo [rire] il vaut mieux euh un peu tranquille donc oui, j'ai choisi de d'aller à [jp]_minpaku c'est un # ancien expo #","l'expo. Il vaut mieux quelque chose d'un peu tranquille, donc j'ai choisi d'aller à Minpaku, c'est une ancienne expo.",2,ai choisi,expected,ai choisi,choisir,passé_composé,regular_ir,j',je,pronoun,1,singular,True,j',subject_pronoun,singular,False,False,,,,,,simple_subject_auxiliary_participle,0.0,0.98,Correct agreement.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_019:v3,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_019,TS,TS,"d'expo [rire] il vaut mieux euh un peu tranquille donc oui, j'ai choisi de d'aller à [jp]_minpaku c'est un # ancien expo #","l'expo. Il vaut mieux quelque chose d'un peu tranquille, donc j'ai choisi d'aller à Minpaku, c'est une ancienne expo.",3,aller,not_applicable,aller,aller,infinitive,irregular,je,je,controlled_subject,1,singular,False,,,,False,False,,,,,,infinitival_complement,,0.96,Infinitive after choisir de.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_019:v4,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_019,TS,TS,"d'expo [rire] il vaut mieux euh un peu tranquille donc oui, j'ai choisi de d'aller à [jp]_minpaku c'est un # ancien expo #","l'expo. Il vaut mieux quelque chose d'un peu tranquille, donc j'ai choisi d'aller à Minpaku, c'est une ancienne expo.",4,c'est,expected,c'est,être,present_indicative,copula_irregular,c',ce,demonstrative_pronoun,3,singular,True,c',demonstrative_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.93,Agreement is correct. Noun phrase gender/article may be non-target-like: 'une ancienne expo' would be expected.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_021:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_021,TS,TS,"d’Osaka # Il y a un gr-, aussi il y a la tour de",d’Osaka. Il y a aussi la tour de...,1,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.96,Existential il y a; no agreement with following NP.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_021:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_021,TS,TS,"d’Osaka # Il y a un gr-, aussi il y a la tour de",d’Osaka. Il y a aussi la tour de...,2,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.96,Repeated existential construction.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_023:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_023,TS,TS,de soleil # Il y a un grand tour de soleil,du soleil. Il y a une grande tour du soleil.,1,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.96,Verb form is correct. The noun phrase should likely be 'une grande tour du soleil'.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_025:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_025,TS,TS,"aussi # il y a un gro- # et aussi un grand musée # de # ethn-, ethnologie qui s'appelle [jp]_minpaku",Il y a aussi un grand musée d’ethnologie qui s'appelle Minpaku.,1,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.97,Existential construction; no agreement with following NP.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_025:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_025,TS,TS,"aussi # il y a un gro- # et aussi un grand musée # de # ethn-, ethnologie qui s'appelle [jp]_minpaku",Il y a aussi un grand musée d’ethnologie qui s'appelle Minpaku.,2,s'appelle,expected,s'appelle,s'appeler,present_indicative,regular_er_pronominal_orthographic_change,qui,musée,relative_pronoun,3,singular,True,un grand musée,singular_determiner_np,singular,False,False,,,,,reflexive_clitic,relative_clause,1.0,0.96,Correct agreement with singular antecedent musée.,target,1.0,True,False,False,True,cue_present,morphological,weak_morphological,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_027:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_027,TS,TS,[jp]_minzoku-hatsubutsukan # mais c'est un musée grandiose # il y a # il y a plants de # chaque # mh # région il y a aussi plan- plants de collection de chaque région de de pays comme # l'Océanie et les pays d'Asie et d'Afrique,"Minzoku hakubutsukan. Mais c'est un musée grandiose. Il y a plein de collections de chaque région, de pays comme l'Océanie et les pays d'Asie et d'Afrique.",1,c'est,expected,c'est,être,present_indicative,copula_irregular,c',ce,demonstrative_pronoun,3,singular,True,c',demonstrative_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.98,Correct agreement.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_027:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_027,TS,TS,[jp]_minzoku-hatsubutsukan # mais c'est un musée grandiose # il y a # il y a plants de # chaque # mh # région il y a aussi plan- plants de collection de chaque région de de pays comme # l'Océanie et les pays d'Asie et d'Afrique,"Minzoku hakubutsukan. Mais c'est un musée grandiose. Il y a plein de collections de chaque région, de pays comme l'Océanie et les pays d'Asie et d'Afrique.",2,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.9,First il y a appears before a pause and may be a restart.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_027:v3,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_027,TS,TS,[jp]_minzoku-hatsubutsukan # mais c'est un musée grandiose # il y a # il y a plants de # chaque # mh # région il y a aussi plan- plants de collection de chaque région de de pays comme # l'Océanie et les pays d'Asie et d'Afrique,"Minzoku hakubutsukan. Mais c'est un musée grandiose. Il y a plein de collections de chaque région, de pays comme l'Océanie et les pays d'Asie et d'Afrique.",3,il y a,expected,il y a,avoir,present_indicative,existential_avoir,il,il,expletive_pronoun,3,singular,False,,expletive_subject,,False,False,,,,,locative_clitic_y,existential_construction,1.0,0.88,The complement contains non-target-like 'plants/plan-' probably intended as 'plein'.,target,1.0,True,False,False,True,no_cue,none,no_cue,False,False,no_attraction,1_2,finite
